system   I             system.c:245  al_install_system                [   0.00245] Allegro version: 5.1.12 (WIP)
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  38.97248] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  38.97253] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  38.97799] removed dtor for object 050844C8
bitmap   D        bitmap_type.c:300  _al_convert_to_memory_bitmap     [  38.98004] converting display bitmap 00B2F0C8 to memory bitmap
dtor     D               dtor.c:184  _al_register_destructor          [  38.98061] added dtor for object 050844C8, func 596A21E9
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [  38.98070] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [  38.98077] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [  38.98264] removed dtor for object 050844C8
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [  38.98307] waiting for display 00AB4670's thread to end
d3d      W         d3d_disp.cpp:593  d3d_destroy_device               [  38.98857] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [  39.00654] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  39.00740] removed dtor for object 00B2F0C8
dtor     D               dtor.c:214  _al_unregister_destructor        [  39.00773] removed dtor for object 00B2FC38
dtor     D               dtor.c:214  _al_unregister_destructor        [  39.00886] removed dtor for object 050846B0
dtor     D               dtor.c:214  _al_unregister_destructor        [  39.00998] removed dtor for object 05083638
dtor     D               dtor.c:214  _al_unregister_destructor        [  39.01122] removed dtor for object 050829A8
dtor     D               dtor.c:114  _al_run_destructors              [  39.01239] calling dtor for object 00ACDC40, func 596A233D
dtor     D               dtor.c:214  _al_unregister_destructor        [  39.01251] removed dtor for object 00ACDC40
